Interest,Exploration vs. Depth,Individual vs Collective,Abstract vs Collctive,Examples,Category
Primary Color Modernism,4,3,8,Matisse,Art
Geometric Systems Art,5,2,4,Sol LeWitt,Art
Impressionist Light Technique,3,2,6,"Monet, Seurat",Art
Street Art Energy,5,8,8,Basquiat,Art
Indian Folk Visual Motifs,3,6,8,"Pichwai, Kullu",Art
Hand-Painted Signage Style,3,7,9,Indian truck art,Art
Stand-Up Appreciation,8,6,4,Mitch Hedberg,Comedy
Sketch Comedy Love,7,7,5,SNL-style sketches,Comedy
Wordplay Humor,7,6,4,Dry one-liners,Comedy
Food Science Curiosity,7,2,4,Reading about emulsions,Cooking
Fermentation Projects,8,3,9,"Kimchi, sourdough",Cooking
Canning and Preservation,7,3,9,Seasonal storage,Cooking
Knife Technique,7,3,9,Prep discipline,Cooking
Hosting Meals,7,8,9,Dinner gatherings,Cooking
Home Gardening,6,3,10,Growing herbs,Cooking
Drawing Practice,6,2,8,Sketching,Crafts
Comic Book Fandom,8,6,4,Graphic novels,Crafts
Relationship Psychology Interest,7,6,5,Esther Perel,Emotional Health
Deep One-on-One Conversations,8,8,7,Long talks,Emotional Health
Self-Reflection Practice,8,2,6,Emotional processing,Emotional Health
Workwear Styling,6,5,8,Utility silhouettes,Fashion
Androgynous Silhouettes,6,6,7,Neutral tailoring,Fashion
Retrofuturist Design,5,6,7,Star Wars influence,Fashion
Japanese Contemporary Fashion,4,6,7,Modern Japanese workwear,Fashion
HIIT Training,7,3,9,High intensity workouts,Fitness
Pilates,6,4,8,Core strength,Fitness
Meditation,6,2,5,Mindfulness,Fitness
Guitar Playing,8,3,9,Electric and acoustic,Music
Bass Playing,7,4,9,Rhythm section,Music
Drum Kit Playing,7,6,10,Rock grooves,Music
Keys and Synth Playing,7,3,8,Chord textures,Music
Violin Playing,6,5,8,Orchestra,Music
Ukulele Playing,6,3,7,Casual sets,Music
Horn Playing,5,4,8,Band arrangements,Music
Ableton Production,7,3,8,Electronic tracks,Music
FL Studio Production,6,3,8,Beat making,Music
Songwriting,6,4,8,Original songs,Music
Live Shows,7,9,9,Playing gigs,Music
Orchestra Playing,6,9,8,Section performance,Music
Choir Singing,6,9,8,Harmony singing,Music
Musical Theater Performance,6,9,8,Stage musicals,Music
Annual Music Review Practice,9,5,6,Year-end ranking list,Music
70s Punk Rock,9,9,8,"Ramones, The Clash",Music
80s Hardcore Punk,8,9,8,"Bad Brains, Dead Kennedys",Music
Ska Punk,8,8,9,"Operation Ivy, Streetlight",Music
90s Pop Punk,8,8,8,"Blink-182, Green Day",Music
Emo / Scene Era,7,8,7,"MCR, Fall Out Boy",Music
Post-Punk,8,8,7,"Fugazi, Mission of Burma",Music
90s Grunge,8,7,7,"Nirvana, Smashing Pumpkins",Music
2000s NYC Indie Rock,9,8,7,"The Strokes, LCD Soundsystem",Music
UK Indie Rock,8,8,6,"Arctic Monkeys, Blur",Music
